Date,Time,Obs,Qflag,Tree,Age Class,SLA,Na,Pa,Press,PARi,Cond,Ci,Photo,Trmmol,VpdL,StmRat,BLCond,Tair,TBlk,Tleaf,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow
11/02/2002,17:22,26.5,1,7,1,3.876,3.39,0.437,87.16,1501,0.4225,260,17.125,3.145,0.7245,1,2.84,21.9725,22.0925,22.4575,358.95,337.125,19.30225,22.9875,63.5025,75.6275,500.35
12/02/2002,8:21,2.5,1,4,1,4.389,2.5,0.248,86.9925,50,0.1895,339,2.5975,1.1625,0.56,1,2.84,15.1925,15.325,14.925,369.3,365.675,11.7635,13.143,59.055,65.9825,499.375
12/02/2002,9:16,26.5,1,3,1,5.048,3.022,0.278,87.035,50,0.40825,352.5,2.32,2.0525,0.49225,1,2.84,16.0275,16.16,15.4175,369.65,365.95,12.10925,14.54175,57.665,69.2475,499.475
12/02/2002,9:36,ac1,1,3,1,5.048,3.022,0.278,87.04714286,1500,0.408714286,247.1428571,19.58571429,1.484285714,0.353428571,1,2.84,17.08,17.09428571,18.06,359.5714286,335.4571429,18.07757143,19.82242857,80.51714286,88.29,500.0857143
12/02/2002,10:19,2.5,1,3,1,4.971,2.823,0.228,87.09,500,0.50425,283.25,16.425,3.3125,0.66025,1,2.84,18.6025,18.795,18.095,368.275,347.15,12.432,16.34575,50.3375,66.185,499.4
12/02/2002,11:22,46.5,1,4,1,4.286,3.106,0.274,87.07,500,0.32875,275.75,13.8,2.5975,0.7515,1,2.84,18.97,19.1225,18.5125,371.325,353.875,12.873,15.93675,50.9125,63.03,500.575
12/02/2002,15:05,18.5,1,4,1,4.374,2.57,0.247,86.92,300,0.1725,268.5,7.7325,1.745,0.91225,1,2.84,20.9025,21.1025,20.545,359.5,349.475,15.367,17.428,53.835,61.055,499.625
12/02/2002,17:01,2.5,1,3,1,4.895,2.35,0.346,86.86,300,0.33475,290.5,9.65,3.295,0.93325,1,2.84,22.0725,22.215,21.3575,359.775,346.775,14.72775,18.61125,48.0125,60.67,499.725
12/02/2002,17:07,14.5,1,3,1,4.616,2.981,0.393,86.8575,300,0.4205,301.75,9.41,4.045,0.93625,1,2.84,22.42,22.5625,21.755,360.6,347.575,14.55175,19.319,46.425,61.635,499.425
12/02/2002,17:53,62.5,1,4,1,4.838,2.969,0.315,86.845,300,0.37025,287.5,10.775,3.8825,1.005,1,2.84,22.4275,22.6075,21.45,359.95,345.4,13.40325,17.9745,42.7325,57.305,500.45
13/02/2002,9:41,14.5,1,6,1,4.343,3.055,0.354,87.8575,50,0.275,344.75,1.1775,1.99,0.68375,1,2.84,18.09,18.205,17.3725,358.95,356.625,12.52975,14.87925,52.8525,62.7625,500.225
13/02/2002,9:51,22.5,1,6,1,4.782,3.154,0.33,87.86,300,0.31725,290.25,9.545,2.3,0.69375,1,2.84,18.405,18.485,17.92,359.6,347.175,12.83975,15.555,53.0975,64.325,500.4
13/02/2002,10:00,30.5,1,6,1,4.117,3.138,0.266,87.8675,300,0.358,309.25,7.4725,2.52,0.68225,1,2.84,18.57,18.6,18.165,360.675,350.3,13.07725,16.05375,53.5125,65.7,499.525
13/02/2002,10:08,38.5,1,6,1,4.591,2.845,0.298,87.86,300,0.32075,299,8.505,2.3675,0.70725,1,2.84,18.73,18.75,18.3275,360.75,349.575,13.2235,16.01625,53.5775,64.8925,500.475
13/02/2002,11:20,10.5,1,5,1,4.542,2.832,0.278,87.84,1500,0.39675,245,19.05,3.155,0.77675,1,2.84,20.2575,20.3125,20.8025,359.275,335.125,15.5225,19.23225,57.1825,70.8475,500.3
13/02/2002,11:23,14.5,1,5,1,4.959,2.978,0.368,87.84,100,0.31575,326.25,4.095,2.2425,0.6785,1,2.84,20.2475,20.3525,19.53,358.875,353,15.573,18.21625,57.4175,67.1625,500.475
